iter	Passed	Remaining
0	166	166432
1	170	84947
2	173	57621
3	174	43513
4	176	35104
5	178	29527
6	179	25474
7	182	22597
8	183	20221
9	185	18360
10	187	16820
11	188	15526
12	189	14420
13	191	13509
14	195	12811
15	196	12072
16	197	11411
17	199	10895
18	202	10459
19	203	9990
20	205	9599
21	207	9245
22	209	8904
23	210	8567
24	211	8263
25	215	8066
26	223	8041
27	224	7805
28	229	7679
29	231	7489
30	233	7296
31	236	7141
32	237	6958
33	241	6861
34	243	6709
35	245	6564
36	247	6449
37	249	6325
38	252	6233
39	257	6176
40	260	6100
41	263	6001
42	265	5901
43	268	5824
44	282	5989
45	294	6108
46	301	6115
47	302	6004
48	309	6002
49	310	5897
50	317	5910
51	323	5900
52	325	5811
53	330	5784
54	331	5701
55	333	5626
56	339	5611
57	340	5531
58	346	5529
59	348	5465
60	355	5469
61	361	5473
62	373	5547
63	380	5571
64	403	5805
65	432	6123
66	434	6055
67	435	5970
68	437	5905
69	439	5838
70	444	5820
71	456	5882
72	495	6292
73	504	6319
74	528	6518
75	536	6522
76	554	6648
77	563	6659
78	566	6603
79	571	6573
80	576	6539
81	581	6506
82	587	6493
83	589	6432
84	591	6367
85	593	6303
86	593	6232
87	596	6178
88	599	6138
89	603	6100
90	609	6089
91	612	6047
92	614	5992
93	624	6014
94	629	6001
95	636	5997
96	644	5998
97	646	5953
98	653	5947
99	656	5905
100	659	5869
101	660	5814
102	662	5769
103	666	5740
104	668	5697
105	670	5654
106	673	5618
107	675	5580
108	679	5555
109	683	5530
110	685	5490
111	690	5473
112	691	5431
113	701	5452
114	706	5438
115	708	5400
116	712	5373
117	713	5331
118	716	5307
119	719	5279
120	725	5268
121	727	5232
122	727	5189
123	734	5187
124	738	5166
125	741	5142
126	744	5117
127	749	5107
128	752	5083
129	756	5063
130	760	5043
131	765	5031
132	770	5025
133	778	5028
134	780	4997
135	787	5000
136	793	4996
137	799	4996
138	806	4997
139	809	4975
140	816	4973
141	819	4952
142	823	4936
143	825	4907
144	827	4877
145	829	4849
146	830	4817
147	831	4787
148	833	4763
149	835	4733
150	837	4707
151	838	4678
152	841	4660
153	844	4640
154	846	4616
155	853	4615
156	855	4594
157	859	4578
158	861	4554
159	863	4532
160	864	4507
161	865	4479
162	866	4451
163	869	4434
164	872	4415
165	873	4388
166	874	4362
167	878	4352
168	881	4332
169	882	4310
170	886	4299
171	888	4276
172	889	4252
173	893	4243
174	896	4224
175	898	4206
176	902	4196
177	903	4174
178	906	4156
179	907	4136
180	908	4111
181	909	4088
182	910	4066
183	911	4043
184	914	4027
185	915	4006
186	916	3984
187	917	3962
188	918	3941
189	921	3927
190	922	3907
191	923	3886
192	924	3864
193	925	3844
194	927	3829
195	929	3811
196	930	3792
197	931	3772
198	932	3752
199	933	3733
200	935	3719
201	936	3700
202	937	3682
203	939	3663
204	939	3645
205	941	3629
206	943	3613
207	944	3595
208	945	3577
209	946	3559
210	947	3543
211	949	3530
212	951	3514
213	952	3497
214	953	3481
215	955	3468
216	957	3453
217	958	3436
218	959	3420
219	960	3405
220	962	3390
221	963	3378
222	965	3363
223	966	3348
224	967	3332
225	968	3316
226	970	3306
227	972	3292
228	973	3277
229	974	3262
230	975	3247
231	978	3238
232	980	3226
233	981	3212
234	983	3200
235	985	3190
236	987	3178
237	988	3164
238	989	3150
239	990	3136
240	994	3131
241	995	3119
242	997	3106
243	998	3092
244	1000	3083
245	1001	3070
246	1002	3057
247	1004	3044
248	1005	3032
249	1008	3025
250	1010	3014
251	1011	3001
252	1012	2988
253	1013	2976
254	1014	2965
255	1016	2952
256	1017	2940
257	1018	2928
258	1019	2916
259	1020	2903
260	1022	2894
261	1023	2883
262	1024	2872
263	1025	2859
264	1026	2848
265	1028	2836
266	1029	2826
267	1030	2814
268	1031	2802
269	1032	2790
270	1033	2778
271	1033	2767
272	1035	2756
273	1036	2746
274	1037	2736
275	1039	2725
276	1040	2714
277	1041	2703
278	1042	2693
279	1043	2682
280	1044	2673
281	1045	2662
282	1046	2652
283	1048	2642
284	1049	2631
285	1049	2621
286	1051	2612
287	1052	2601
288	1053	2591
289	1054	2581
290	1055	2571
291	1056	2561
292	1057	2551
293	1059	2543
294	1060	2534
295	1061	2524
296	1062	2515
297	1063	2505
298	1064	2496
299	1065	2487
300	1067	2477
301	1068	2468
302	1069	2459
303	1069	2449
304	1070	2439
305	1071	2430
306	1072	2421
307	1073	2412
308	1074	2403
309	1075	2394
310	1076	2385
311	1077	2376
312	1078	2368
313	1079	2359
314	1081	2351
315	1082	2342
316	1083	2333
317	1084	2325
318	1085	2316
319	1086	2307
320	1087	2299
321	1088	2291
322	1089	2283
323	1090	2275
324	1091	2266
325	1092	2258
326	1093	2250
327	1094	2242
328	1095	2234
329	1096	2227
330	1098	2219
331	1099	2212
332	1100	2204
333	1101	2197
334	1103	2190
335	1104	2183
336	1106	2176
337	1107	2168
338	1108	2161
339	1110	2155
340	1112	2149
341	1113	2143
342	1115	2137
343	1117	2131
344	1120	2127
345	1122	2120
346	1123	2113
347	1124	2106
348	1126	2100
349	1128	2095
350	1129	2088
351	1130	2081
352	1131	2074
353	1135	2072
354	1137	2066
355	1138	2059
356	1140	2053
357	1144	2051
358	1145	2045
359	1146	2038
360	1148	2032
361	1151	2028
362	1153	2023
363	1154	2017
364	1156	2012
365	1158	2007
366	1160	2001
367	1161	1995
368	1164	1991
369	1167	1987
370	1168	1981
371	1170	1975
372	1172	1971
373	1174	1965
374	1175	1959
375	1177	1953
376	1179	1949
377	1181	1944
378	1182	1937
379	1183	1931
380	1185	1925
381	1187	1921
382	1191	1919
383	1193	1915
384	1196	1911
385	1197	1905
386	1199	1899
387	1201	1895
388	1203	1890
389	1205	1884
390	1206	1879
391	1209	1875
392	1211	1870
393	1212	1864
394	1213	1858
395	1214	1852
396	1219	1852
397	1221	1847
398	1225	1846
399	1227	1841
400	1228	1835
401	1229	1829
402	1232	1825
403	1234	1820
404	1235	1814
405	1236	1808
406	1237	1802
407	1240	1799
408	1242	1795
409	1243	1789
410	1244	1784
411	1246	1779
412	1249	1775
413	1250	1770
414	1251	1764
415	1253	1760
416	1256	1757
417	1258	1752
418	1259	1746
419	1261	1742
420	1264	1738
421	1265	1732
422	1266	1727
423	1267	1721
424	1268	1716
425	1271	1712
426	1272	1707
427	1273	1702
428	1274	1696
429	1276	1691
430	1278	1688
431	1279	1682
432	1280	1677
433	1281	1671
434	1283	1666
435	1286	1663
436	1287	1658
437	1288	1652
438	1289	1647
439	1290	1642
440	1293	1639
441	1294	1634
442	1295	1628
443	1296	1623
444	1297	1618
445	1300	1614
446	1301	1610
447	1302	1605
448	1303	1600
